t,alpha,alpha_dot
4.556,2.9115,4.2294
4.557,2.91456,4.2294
4.558,2.9207,4.31441
4.559,2.92377,4.31441
4.56,2.9299,4.31441
4.561,2.93297,4.38228
4.562,2.93911,4.38228
4.563,2.94218,4.38228
4.564,2.94831,4.4606
4.565,2.95138,4.4606
4.566,2.95751,4.4606
4.567,2.96058,4.53496
4.568,2.96672,4.53496
4.569,2.96979,4.58799
4.57,2.97285,4.58799
4.571,2.97899,4.58799
4.572,2.98513,4.65322
4.573,2.98819,4.65322
4.574,2.99433,4.70699
4.575,2.9974,4.70699
4.576,3.00353,4.70699
4.577,3.0066,4.74557
4.578,3.01274,4.74557
4.579,3.01581,4.74557
4.58,3.02194,4.78935
4.581,3.02808,4.78935
4.582,3.03115,4.82887
4.583,3.03728,4.82887
4.584,3.04035,4.82887
4.585,3.04649,4.84872
4.586,3.04955,4.84872
4.587,3.05569,4.87941
4.588,3.06183,4.87941
4.589,3.06489,4.87941
4.59,3.07103,4.90324
4.591,3.0741,4.90324
4.592,3.08023,4.9151
4.593,3.08637,4.9151
4.594,3.08944,4.9151
4.595,3.09557,4.94033
4.596,3.10171,4.94033
4.597,3.10478,4.94794
4.598,3.11091,4.94794
4.599,3.11398,4.94794
4.6,3.12012,4.96155
4.601,3.12625,4.96155
4.602,3.12932,4.97765
4.603,3.13546,4.97765
4.604,3.13852,4.97765
4.605,-3.13852,4.97841
4.606,-3.13239,4.97841
4.607,-3.12932,4.98774
4.608,-3.12318,4.98774
4.609,-3.11705,4.99101
4.61,-3.11398,4.99101
4.611,-3.10785,4.99101
4.612,-3.10478,4.98343
4.613,-3.09864,4.98343
4.614,-3.09251,4.979
4.615,-3.08944,4.979
4.616,-3.0833,4.979
4.617,-3.07717,4.97434
4.618,-3.0741,4.97434
4.619,-3.06796,4.95002
4.62,-3.06489,4.95002
4.621,-3.05876,4.95002
4.622,-3.05262,4.92197
4.623,-3.04955,4.92197
4.624,-3.04342,4.85504
4.625,-3.04035,4.85504
4.626,-3.03421,4.85504
4.627,-3.03115,4.74124
4.628,-3.02501,4.74124
4.629,-3.02194,4.74124
4.63,-3.01581,4.60396
4.631,-3.01274,4.60396
4.632,-3.0066,4.53445
4.633,-3.00353,4.53445
4.634,-2.9974,4.53445
4.635,-2.99433,4.63426
4.636,-2.98819,4.63426
4.637,-2.98513,4.63426
4.638,-2.97899,4.74662
4.639,-2.97592,4.74662
4.64,-2.96979,4.58347
4.641,-2.96672,4.58347
4.642,-2.96058,4.58347
4.643,-2.95751,4.62364
4.644,-2.95138,4.62364
4.645,-2.94831,4.62364
4.646,-2.94218,4.55791
4.647,-2.93911,4.55791
4.648,-2.93297,4.49857
4.649,-2.9299,4.49857
4.65,-2.92377,4.49857
4.651,-2.9207,4.43265
4.652,-2.91456,4.43265
4.653,-2.9115,4.43265
4.654,-2.90843,4.35984
4.655,-2.90229,4.35984
4.656,-2.89922,4.35984
4.657,-2.89309,4.28752
4.658,-2.89002,4.28752
4.659,-2.88695,4.28752
4.66,-2.88082,4.1928
4.661,-2.87775,4.1928
4.662,-2.87468,4.1928
4.663,-2.86854,4.10243
4.664,-2.86548,4.10243
4.665,-2.86241,4.10243
4.666,-2.85627,4.01103
4.667,-2.8532,4.01103
4.668,-2.85014,4.01103
4.669,-2.84707,3.90061
4.67,-2.84093,3.90061
4.671,-2.83786,3.90061
4.672,-2.8348,3.78904
4.673,-2.83173,3.78904
4.674,-2.82866,3.78904
4.675,-2.82252,3.67085
4.676,-2.81946,3.67085
4.677,-2.81639,3.67085
4.678,-2.81332,3.67085
4.679,-2.81025,3.5424
4.68,-2.80718,3.5424
4.681,-2.80412,3.5424
4.682,-2.79798,3.42599
4.683,-2.79491,3.40998
4.684,-2.79185,3.40998
4.685,-2.78878,3.40998
4.686,-2.78571,3.25646
4.687,-2.78264,3.25646
4.688,-2.77957,3.25646
4.689,-2.77651,3.25646
4.69,-2.77344,3.09719
4.691,-2.77037,3.09719
4.692,-2.7673,3.09719
4.693,-2.76423,3.09719
4.694,-2.76117,2.92025
4.695,-2.76117,2.92025
4.696,-2.7581,2.92025
4.697,-2.75503,2.92025
4.698,-2.75196,2.92025
4.699,-2.74889,2.72254
4.7,-2.74583,2.72254
4.701,-2.74276,2.72254
