t,alpha,alpha_dot
0.98,-3.14159,-0
0.981,-3.14159,-0
0.982,-3.14159,-0
0.983,-3.14159,-0
0.984,-3.14159,-0
0.985,-3.14159,-0
0.986,-3.14159,-0
0.987,-3.14159,-0
0.988,-3.14159,-0
0.989,-3.14159,-0
0.99,-3.14159,-0
0.991,-3.14159,-0
0.992,-3.14159,-0
0.993,-3.14159,-0
0.994,-3.14159,-0
0.995,-3.14159,-0
0.996,-3.14159,-0
0.997,-3.14159,-0
0.998,-3.14159,-0
0.999,-3.14159,-0
1,-3.14159,-0
1.001,-3.14159,-0
1.002,-3.14159,-0
1.003,-3.14159,-0
1.004,-3.14159,-0
1.005,-3.14159,-0
1.006,-3.14159,-0
1.007,-3.14159,-0
1.008,-3.14159,-0
1.009,-3.14159,-0
1.01,-3.14159,-0
1.011,-3.14159,-0
1.012,-3.14159,-0
1.013,-3.14159,-0
1.014,-3.14159,-0
1.015,-3.14159,-0
1.016,-3.14159,-0
1.017,-3.14159,-0
1.018,-3.14159,-0
1.019,-3.14159,-0
1.02,-3.14159,-0
1.021,-3.14159,-0
1.022,-3.14159,-0
1.023,-3.14159,-0
1.024,-3.14159,-0
1.025,-3.14159,-0
1.026,-3.14159,-0
1.027,-3.14159,-0
1.028,-3.14159,-0
1.029,-3.14159,-0
1.03,-3.14159,-0
1.031,-3.14159,-0
1.032,-3.14159,-0
1.033,-3.14159,-0
1.034,-3.14159,-0
1.035,-3.14159,-0
1.036,-3.14159,-0
1.037,-3.14159,-0
1.038,-3.14159,-0
1.039,-3.14159,-0
1.04,-3.14159,-0
1.041,-3.14159,-0
1.042,-3.14159,-0
1.043,-3.14159,-0
1.044,-3.14159,-0
1.045,-3.14159,-0
1.046,-3.14159,-0
1.047,-3.14159,-0
1.048,-3.14159,-0
1.049,-3.14159,-0
1.05,-3.14159,-0
1.051,-3.14159,-0
1.052,-3.14159,-0
1.053,-3.14159,-0
1.054,-3.14159,-0
1.055,-3.14159,-0
1.056,-3.14159,-0
1.057,-3.14159,-0
1.058,-3.14159,-0
1.059,-3.14159,-0
1.06,-3.14159,-0
1.061,-3.14159,-0
1.062,-3.14159,-0
1.063,-3.14159,-0
1.064,-3.14159,-0
1.065,-3.14159,-0
1.066,-3.14159,-0
1.067,-3.14159,-0
1.068,-3.14159,-0
1.069,-3.14159,-0
1.07,-3.14159,-0
1.071,-3.14159,-0
